Equity Solutions USA,,,
"STOP and Contact Office Immediately

If one or more of the following applies:",Form type ordered does not match your findings on the subject. i.e.. Ordered as a 1004 but research indicates the subject is a 1073,,
,If the subject is found to be in C5 or C6 condition,,
,"If the subject's existing use is not its highest and best use, notify us",,
,If at any time it is determined the subject's use is ILLEGAL.,,
,If the subject property including accessory units exceededs 4 units. ,,
#,Question,Yes,No
,,,
ASSIGNMENT INFORMATION,,,
1,Can you confirm the owner of public record?,,
2,Does the borrower's name match the loan file?,,
5,Is the lender information correct?,,
6,Have you confirmed the appraiser has an active license?,,
,,,
SUBJECT PROPERTY,,,
7,Is the property address consistent with the loan file?,,
8,Are there any special assessments?,,
9,How are the property rights appraised? (Fee Simple / Leasehold / Other),,
10,Are all rights included in the appraisal?,,
11,Is the legal description consistent with the sales contract/preliminary title?,,
,,,
SITE,,,
12,Is the description of the total site size consistent with the sales contract?,,
13,Is this a multi-parcel property?,,
14,"Is any non-residential use indicated? (If yes, are photos/comments provided?)",,
15,Is the property access public?,,
16,"Is the zoning rated legal non-conforming or illegal? If Legal - Non Conforming, can the property be rebuilt if destroyed? ",,
17,Do the utilities and/or off-site improvements meet community standards?,,
18,"Are there any adverse site, view or site feature influences that would impact marketability? (If yes, are photos provided?)",,
19,"Are there any defects, damages or deficiencies? (If yes, are photos/comments provided?)",,
,,,
SKETCH,,,
20,Was the ANSI measurement standard used?,,
21,Does the sketch include legible exterior dimensions reported to the nearest tenth of a foot for each structure?,,
22,Does the sketch include all levels of the dwelling? And are the levels labeled? ,,
23,Are the room labels provided for all structures?,,
24,Does the subject layout appear to show any functional deficiencies or inadequacies?,,
,,,
DWELLING EXTERIOR,,,
26,"If any converted areas are reported, is the quality of construction similar/superior to the rest of the living area?",,
29,"Do any of the exterior features have a condition status of ""damaged and nonfunctional""?",,
30,Do the mechanical system details reflect the appropriate heating/cooling systems for all finished areas?,,
31,"Are any defects, damages or deficiencies noted that affect soundness/structural integrity? (If yes, are photos/comments provided?)",,
32,Does the property conform to the market?,,
33,"Are the required photos included: front, back and street scene of subject property and front of each comparable?",,
,,,
UNIT INTERIOR,,,
34,Is the square footage in this section consistent with the sketch?,,
35,"Are the number of bedrooms, bathrooms and levels reported in this section consistent with the sketch?",,
36,Is the occupancy noted consistent with the transaction?,,
